number,value,datetime_start,datetime_complete,duration,params_gat_heads,params_gat_hidden_0,params_gat_hidden_1,params_gat_hidden_2,params_gat_layers,params_gat_out,params_kan_arity_0_0,params_kan_arity_0_1,params_kan_arity_0_2,params_kan_arity_0_3,params_kan_arity_0_4,params_kan_arity_0_5,params_kan_arity_0_6,params_kan_arity_0_7,params_kan_arity_0_8,params_kan_arity_0_9,params_kan_arity_1_0,params_kan_arity_1_1,params_kan_arity_1_2,params_kan_arity_1_3,params_kan_arity_1_4,params_kan_arity_1_5,params_kan_arity_1_6,params_kan_arity_1_7,params_kan_arity_1_8,params_kan_arity_1_9,params_kan_arity_2_0,params_kan_arity_2_1,params_kan_arity_2_2,params_kan_arity_2_3,params_kan_arity_2_4,params_kan_arity_2_5,params_kan_arity_2_6,params_kan_arity_2_7,params_kan_arity_2_8,params_kan_arity_2_9,params_kan_arity_3_0,params_kan_arity_3_1,params_kan_arity_3_2,params_kan_arity_3_3,params_kan_arity_3_4,params_kan_arity_3_5,params_kan_arity_3_6,params_kan_arity_3_7,params_kan_arity_3_8,params_kan_arity_3_9,params_kan_grid,params_kan_k,params_kan_layer_type_0,params_kan_layer_type_1,params_kan_layer_type_2,params_kan_layer_type_3,params_kan_mult_nodes_0,params_kan_mult_nodes_1,params_kan_mult_nodes_2,params_kan_mult_nodes_3,params_kan_n_layers,params_kan_neurons_0,params_kan_neurons_1,params_kan_neurons_2,params_kan_neurons_3,params_lr,state
48,2535.244873,30:09.9,30:47.9,0 days 00:00:38.006569,4,32,8,96,3,5,,,,,,,,,,,4,10,9,6,10,6,,,,,,,,,,,,,,,,,,,,,,,,,7,5,normal,mixed,,,,6,,,2,4,5,,,0.000429483,COMPLETE
49,972.5742798,30:47.9,31:22.0,0 days 00:00:34.028737,2,128,64,16,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,normal,,,,,,,,1,8,,,,0.000938106,COMPLETE
50,,31:22.0,32:05.3,0 days 00:00:43.370162,4,64,16,,2,3,,,,,,,,,,,6,9,7,,,,,,,,8,10,9,3,3,4,4,7,9,8,,,,,,,,,,,6,8,normal,mixed,mixed,,,3,10,,3,8,8,1,,0.001454027,FAIL
51,302.1439819,32:05.3,32:40.4,0 days 00:00:35.057581,2,128,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,normal,normal,normal,,,,,,3,9,4,5,,0.007008066,COMPLETE
52,4582.217285,32:40.4,33:16.8,0 days 00:00:36.370141,2,32,,,1,4,,,,,,,,,,,8,10,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,normal,mixed,normal,,,4,,,3,6,6,1,,0.000736168,COMPLETE
53,1294106.75,33:16.8,33:52.3,0 days 00:00:35.564381,3,8,,,1,2,6,9,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,mixed,normal,,,4,,,,2,9,8,,,0.000280459,COMPLETE
54,4912.148438,33:52.3,34:26.5,0 days 00:00:34.163880,1,32,64,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,normal,normal,,,,,,,2,1,5,,,0.000295258,COMPLETE
55,5131.12793,34:26.5,35:01.3,0 days 00:00:34.798607,1,8,96,96,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,mixed,normal,,,1,,,,2,5,5,,,0.000139281,COMPLETE
56,,35:01.3,35:44.8,0 days 00:00:43.521912,4,96,128,96,3,4,7,6,7,10,,,,,,,,,,,,,,,,,9,5,2,9,4,2,3,4,6,,,,,,,,,,,,5,7,mixed,normal,mixed,,4,,9,,3,7,2,3,,0.000236206,FAIL
57,598.6851807,35:44.8,36:20.0,0 days 00:00:35.198219,2,8,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,normal,normal,,,,,,,2,10,7,,,0.002344287,COMPLETE
58,,36:20.0,37:02.6,0 days 00:00:42.542421,3,32,32,32,3,3,4,7,3,6,5,7,10,4,9,,5,3,7,7,3,8,5,10,,,,,,,,,,,,,,,,,,,,,,,4,7,mixed,mixed,,,9,8,,,2,7,2,,,0.000119462,FAIL
59,434.3604431,37:02.6,37:36.5,0 days 00:00:33.935612,2,96,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,mixed,normal,,,1,,,,2,5,3,,,0.00710002,COMPLETE
